movie_id,primary_title,original_title,start_year,runtime_minutes,genres,clean_title,averagerating,numvotes,domestic_gross,foreign_gross,production_budget,worldwide_gross,release_date,release_year,release_month
tt1877797,The Knot,The Knot,2012,92.0,"Comedy,Romance",the knot,4.4,811,,,,,,,
tt1877803,The Monsters' Dinner,Canavarlar Sofrasi,2011,85.0,"Comedy,Drama",the monsters' dinner,5.8,144,,,,,,,
tt1877808,The Wishmakers,The Wish Makers of West Hollywood,2011,88.0,"Comedy,Romance",the wishmakers,4.1,114,,,,,,,
tt1877832,X-Men: Days of Future Past,X-Men: Days of Future Past,2014,132.0,"Action,Adventure,Sci-Fi",x-men: days of future past,8.0,620079,233900000.0,513900000.0,200000000.0,747862775.0,2014-05-23,2014.0,5.0
tt1877890,American Mummy,American Mummy,2014,82.0,Horror,american mummy,2.6,129,,,,,,,
tt1877893,Excuse Me for Living,Excuse Me for Living,2012,106.0,"Comedy,Romance",excuse me for living,4.7,435,,,,,,,
tt1877894,2nd Serve,2nd Serve,2012,86.0,"Comedy,Sport",2nd serve,5.6,76,,,,,,,
tt1878841,The Darkness,The Darkness,2016,92.0,"Horror,Thriller",the darkness,4.4,12435,10800000.0,,4000000.0,10898293.0,2016-05-13,2016.0,5.0
tt1878858,Attack of the Moon Zombies,Attack of the Moon Zombies,2011,99.0,"Horror,Sci-Fi",attack of the moon zombies,6.3,97,,,,,,,
tt1878870,The Edge of Seventeen,The Edge of Seventeen,2016,104.0,"Comedy,Drama",the edge of seventeen,7.3,87602,14400000.0,4400000.0,9000000.0,19096003.0,2016-11-18,2016.0,11.0
tt1878917,The Pledge,The Pledge,2011,118.0,"Drama,Family",the pledge,6.3,164,,,45000000.0,29406132.0,2001-01-19,2001.0,1.0
tt1878942,Date and Switch,Date and Switch,2014,91.0,"Comedy,Drama,Romance",date and switch,5.8,7306,,,,,,,
tt1878964,King Naresuan: Part Three,King Naresuan: Part Three,2011,150.0,History,king naresuan: part three,6.3,138,,,,,,,
tt1879012,Night of the Living Dead 3D: Re-Animation,Night of the Living Dead 3D: Re-Animation,2012,88.0,"Action,Horror",night of the living dead 3d: re-animation,3.0,1802,,,,,,,
tt1879030,Q,Q,2011,103.0,Drama,q,5.6,5322,,,1200000.0,255000.0,1982-11-19,1982.0,11.0
tt1879032,Rapture-Palooza,Rapture-Palooza,2013,85.0,"Comedy,Fantasy",rapture-palooza,5.3,10546,,,,,,,
tt1879066,Troubled Child,The Boarder,2012,100.0,Drama,troubled child,5.7,180,,,,,,,
tt1879078,A Sierra Nevada Gunfight,The Sorrow,2013,92.0,Western,a sierra nevada gunfight,3.0,118,,,,,,,
tt1879082,The Unlikely Girl,The Unlikely Girl,2012,95.0,"Drama,Mystery,Thriller",the unlikely girl,5.4,215,,,,,,,
tt1880195,Fat & Back,Fat & Back,2013,101.0,"Documentary,Sport",fat & back,7.3,75,,,,,,,
tt1880279,Me Late Chocolate,Me Late Chocolate,2013,100.0,"Comedy,Drama,Romance",me late chocolate,5.2,607,,,,,,,
tt1880293,Ninja Zombies,Ninja Zombies,2011,90.0,"Action,Horror",ninja zombies,2.3,257,,,,,,,
tt1880313,Hunting the Phantom,Hunting the Phantom,2014,120.0,"Action,Adventure,Sci-Fi",hunting the phantom,3.1,251,,,,,,,
tt1880377,The Sky Above,O Céu Sobre os Ombros,2011,72.0,"Documentary,Drama",the sky above,6.3,69,,,,,,,
tt1880379,The Summoning,The Summoning,2014,88.0,Horror,the summoning,3.1,68,,,,,,,
tt1880399,Kodachrome,Kodachrome,2017,105.0,Drama,kodachrome,6.8,8783,,,,,,,
tt1880415,Battlecreek,Battlecreek,2017,97.0,"Drama,Romance",battlecreek,5.7,773,,,,,,,
tt1880418,Newlyweds,Newlyweds,2011,95.0,"Comedy,Drama",newlyweds,6.4,1436,,,9000.0,4584.0,2012-01-13,2012.0,1.0
tt1880923,Arakawa Under the Bridge,Arakawa andâ za burijji: The Movie,2012,115.0,"Comedy,Drama,Fantasy",arakawa under the bridge,6.5,52,,,,,,,
tt1880940,Bumrush,Bumrush,2011,,"Action,Crime,Drama",bumrush,6.1,146,,,,,,,
tt1880984,Jez Jerzy,Jez Jerzy,2011,90.0,"Animation,Comedy",jez jerzy,4.4,417,,,,,,,
tt1881002,Maggie,Maggie,2015,95.0,"Drama,Horror",maggie,5.6,38671,187000.0,,4500000.0,1027760.0,2015-05-08,2015.0,5.0
tt1881012,My Australia,Moja Australia,2011,97.0,Drama,my australia,7.1,73,,,,,,,
tt1881024,One in the Chamber,One in the Chamber,2012,91.0,"Action,Crime,Thriller",one in the chamber,5.2,4304,,,,,,,
tt1881045,SPEC: Heaven,Gekijouban SPEC: Ten,2012,119.0,Drama,spec: heaven,6.0,227,,,,,,,
tt1881053,Shikari,Shikari,2011,,"Drama,Family",shikari,4.8,71,,,,,,,
tt1881060,Static,Static,2012,83.0,"Drama,Horror,Mystery",static,5.4,2856,,,,,,,
tt1882041,As Mães de Chico Xavier,As Mães de Chico Xavier,2011,90.0,Drama,as mães de chico xavier,6.2,320,,,,,,,
tt1882116,Médecins de campagne,Médecins de campagne,2010,53.0,Documentary,médecins de campagne,6.8,68,,,,,,,
tt1883121,404: Error Not Found,404: Error Not Found,2011,121.0,"Drama,Mystery,Thriller",404: error not found,7.2,1733,,,,,,,
tt1883126,A Little Victory,A Little Victory,2010,75.0,"Comedy,Drama,History",a little victory,7.6,70,,,,,,,
tt1883127,A-ha: Ending on a High Note - The Final Concert,A-ha: Ending on a High Note - The Final Concert,2011,,Music,a-ha: ending on a high note - the final concert,8.6,53,,,,,,,
tt1883160,The Visitor,Cibrâil,2011,70.0,"Drama,Romance",the visitor,5.1,467,,,4000000.0,19174817.0,2008-04-11,2008.0,4.0
tt1883168,Do Not Forget Me Istanbul,Do Not Forget Me Istanbul,2010,113.0,Drama,do not forget me istanbul,6.0,282,,,,,,,
tt1883179,The Miracle,Miraklet,2013,90.0,Drama,the miracle,5.1,66,,,,,,,
tt1883180,A Pigeon Sat on a Branch Reflecting on Existence,En duva satt på en gren och funderade på tillvaron,2014,101.0,"Comedy,Drama,Fantasy",a pigeon sat on a branch reflecting on existence,7.0,14199,223000.0,,,,,,
tt1883184,Falls the Shadow,Falls the Shadow,2011,93.0,"Action,Horror,Thriller",falls the shadow,3.5,116,,,,,,,
tt1883251,America's Most Hated Family in Crisis,Louis Theroux: The Most Hated Family in America in Crisis,2011,60.0,Documentary,america's most hated family in crisis,7.6,2086,,,,,,,
tt1883269,Morituris,Morituris,2011,83.0,Horror,morituris,4.1,442,,,,,,,
tt1883359,The Co(te)lette Film,The Co(te)lette Film,2010,58.0,Musical,the co(te)lette film,7.6,50,,,,,,,
tt1883367,The Human Centipede III (Final Sequence),The Human Centipede III (Final Sequence),2015,102.0,"Comedy,Horror",the human centipede iii (final sequence),2.8,12577,,,,,,,
tt1883386,"Happy New Year, Grandma!","Urte berri on, amona!",2011,,Comedy,"happy new year, grandma!",7.2,56,,,,,,,
tt1883397,Underdog Knight 2,Ying han 2,2011,86.0,"Action,Thriller",underdog knight 2,6.1,148,,,,,,,
tt1884254,Birami Sahar (Sick City),Birami Sahar (Sick City),2011,75.0,Drama,birami sahar (sick city),7.9,61,,,,,,,
tt1884258,Romantic Debtors,Boolryang Namnyeo,2010,108.0,"Comedy,Romance",romantic debtors,6.2,148,,,,,,,
tt1884268,Chalo Dilli,Chalo Dilli,2011,155.0,"Comedy,Drama",chalo dilli,6.8,2765,94300.0,,,,,,
tt1884312,Forced to Fight,Forced to Fight,2011,101.0,Action,forced to fight,4.4,665,,,,,,,
tt1884318,Girls Gone Dead,Girls Gone Dead,2012,104.0,"Comedy,Horror",girls gone dead,3.5,2230,,,500000.0,0.0,2012-07-17,2012.0,7.0
tt1884354,Men Suddenly in Love,Maang naam gwan sei deoi,2011,89.0,Comedy,men suddenly in love,3.8,124,,,,,,,
tt1884369,Noobz,Noobz,2012,97.0,Comedy,noobz,4.9,1962,,,,,,,
tt1884378,7 Splinters in Time,7 Splinters in Time,2018,75.0,"Mystery,Sci-Fi,Thriller",7 splinters in time,3.3,411,,,,,,,
tt1884380,Operation Autumn,Operação Outono,2012,92.0,"Biography,History,Thriller",operation autumn,6.1,129,,,,,,,
tt1884382,Ostende,Ostende,2011,82.0,Mystery,ostende,6.2,112,,,,,,,
tt1884414,Shakespeare High,Shakespeare High,2011,82.0,Documentary,shakespeare high,7.3,92,,,,,,,
tt1884431,Talihina Sky: The Story of Kings of Leon,Talihina Sky: The Story of Kings of Leon,2011,87.0,Documentary,talihina sky: the story of kings of leon,7.1,821,,,,,,,
tt1884438,The British Guide to Showing Off,The British Guide to Showing Off,2011,98.0,"Biography,Comedy,Documentary",the british guide to showing off,6.5,101,,,,,,,
tt1884447,The Hooker with a Heart of Gold,The Hooker with a Heart of Gold,2010,149.0,"Action,Comedy,Thriller",the hooker with a heart of gold,7.2,234,,,,,,,
tt1884457,The Package,The Package,2013,95.0,"Action,Crime,Thriller",the package,5.1,3637,,,,,,,
